N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
661,8096,13157,17185,16853,20626
662,8692,13084,17083,16810,20722
663,7497,12812,17165,16888,20718
664,7884,12926,17206,16877,20778
665,7618,13339,17237,16930,20706
666,8590,13323,17287,17004,20792
667,7879,13077,17274,16984,20945
668,7486,13400,17290,17013,20931
669,8734,13126,17338,16982,20912
670,9557,13222,17398,17080,21008
671,8608,13458,17381,17100,21053
672,8189,13313,17409,17177,20946
673,8351,13397,17494,17130,20916
674,8511,13426,17450,17262,21173
675,8180,13496,17508,17221,21106
676,8425,13342,17541,17218,21228
677,8158,13336,17598,17218,21111
678,8510,13347,17550,17218,21294
679,9003,13596,17653,17299,21151
680,9097,13625,17633,17289,21382
681,8385,13603,17682,17328,21401
682,8280,13516,17672,17418,21309
683,7857,13527,17748,17398,21487
684,9378,13775,17765,17467,21328
685,8217,13369,17757,17524,21502
686,8068,13628,17849,17511,21549
687,7964,13633,17846,17535,21598
688,8472,13738,17892,17527,21569
689,8748,13576,17899,17627,21537
690,7878,13861,17944,17610,21517
691,8562,13662,18006,17550,21542
692,8803,13724,17953,17636,21590
693,8489,13697,17974,17702,21843
694,8490,14013,18047,17756,21820
695,8307,13832,18082,17723,21760
696,8612,13930,18063,17733,21651
697,8531,13651,18176,17770,21978
698,9101,13976,18145,17817,21875
699,7966,13781,18175,17846,21828
700,8790,14042,18210,17869,21892
701,8389,13708,18214,17927,22084
702,8238,13667,18249,17960,22073
703,8449,13949,18225,17945,22007
704,8468,14129,18361,18022,22191
705,8829,14164,18319,17981,22114
706,9029,14060,18364,17946,22017
707,8508,13921,18465,18047,22111
708,8794,14096,18434,18081,22372
709,9421,14027,18428,18115,22330
710,8291,14270,18480,18165,22287
711,9127,14066,18510,18224,22335
712,8352,14359,18610,18175,22197
713,9300,14420,18560,18293,22502
714,8464,14328,18538,18184,22506
715,9355,14120,18616,18146,22339
716,9059,14414,18700,18392,22435
717,8607,14223,18696,18437,22587
718,8799,14330,18752,18383,22466
719,9328,14413,18748,18358,22611
720,9342,14446,18772,18403,22486
721,11150,14614,18794,18497,22681
722,9216,14353,18838,18496,22752
723,9304,14256,18859,18588,22736
724,8696,14520,18899,18507,22640
725,8862,14429,18890,18547,22762
726,8631,14596,18899,18567,22776
727,8687,14435,18975,18546,22812
728,8782,14237,18918,18630,22767
729,8996,14649,19004,18584,22932
730,8961,14582,19109,18613,22914
731,10419,14795,19021,18716,23021
732,8867,14782,19068,18795,23052
733,9502,14490,19146,18795,23133
734,9815,14997,19139,18833,23002
735,9181,14828,19211,18822,23116
736,8411,14549,19215,18894,23020
737,9708,14545,19242,18825,23185
738,8991,14819,19232,18893,22949
739,9000,14642,19302,18830,23207
740,10497,14810,19305,18974,23217
741,9371,14997,19353,18850,23279
742,9447,15031,19359,18936,23231
743,9561,15147,19419,18979,23254
744,9007,14869,19449,19071,23398
745,8796,14818,19431,19079,23418
746,9266,15029,19448,19158,23460
747,10322,15102,19530,19200,23631
748,9325,15133,19551,19205,23527
749,9074,15171,19559,19157,23568
750,10100,15106,19614,19264,23601
751,9443,15310,19638,19325,23542
752,9269,15329,19648,19347,23737
753,8977,15085,19634,19252,23687
754,9118,15375,19674,19268,23717
755,9421,15054,19751,19255,23614
756,9185,15202,19719,19263,23888
757,9290,15284,19780,19380,23797
758,10195,15425,19799,19359,23750
759,9183,15398,19851,19504,23789
760,8970,15009,19874,19492,23861
761,8900,15325,19944,19547,23994
762,9046,15436,19943,19509,24028
763,9557,15386,19966,19604,24056
764,9855,15249,20019,19620,24200
765,9257,15614,20029,19546,24091
766,9663,15454,20018,19686,24150
767,9817,15471,20031,19715,24215
768,9119,15334,20086,19777,24218
769,10014,15651,20119,19811,24279
770,9784,15403,20120,19763,24262
771,8859,15571,20175,19730,24193
772,9379,15679,20204,19815,24277
773,9823,15635,20215,19863,24249
774,10184,15576,20238,19905,24378
775,9250,15801,20297,19881,24364
776,9592,15700,20237,20028,24349
777,9584,15666,20329,19949,24425
778,9412,15904,20361,20028,24549
779,9242,15675,20355,20007,24606
780,9528,15722,20473,20042,24524
781,9558,15848,20430,20039,24657
782,9209,16054,20483,20078,24638
